"sr_no","pic","name_of_dam","operated_maintained_by","latitude","longitude","year_of_completion","river_basin","river","neareast_city","seismic_zone","dam_type","height_above_lowest_foundation_level","dam_length","volume_content_of_dam","gross_storage_capacity","reservoir_area","effective_storage_capacity","purpose","designed_spillway_capacity"
822,"MH09MH0831","TALEGAONGHOGAON","Maharashtra Water Resources Department","17° 8 ' 10""","74° 3 ' 4""",1980,"Krishna","South Mand","Karad","IV","Earthfill_Embankment",21.18,740,101000,1590000,217000,1390000,"I",504
823,"MH09LH0833","RUI CHATRAPATI","Maharashtra Water Resources Department","18° 55 ' 25""","74° 33 ' 43""",1980,"Krishna","Gopal Ganga","Parner","III","Earthfill_Embankment",10.77,420,16730,1350000,46000,1070000,"I",565
824,"MH09MH0834","SUKHANI","Maharashtra Water Resources Department","18° 40 ' 36""","76° 43 ' 9""",1980,"Godavari","Local Nalla","Ahmedpur","II","Earthfill_Embankment",16.82,1080,128630,3830000,920000,3440000,"I",577
825,"MH09MH0835","VADGAON (SATARA)","Maharashtra Water Resources Department","18° 5 ' 55""","73° 56 ' 26""",1980,"Krishna","Mandnalla","Khandala.","III","Earthfill_Embankment",21.7,526,138000,2980000,440000,2560000,"I",638
826,"MH09LH0836","KOLHE","Maharashtra Water Resources Department","20° 36 ' 52""","75° 30 ' 31""",1980,"Tapi","Local Nalla","Pachora","II","Earthfill_Embankment",12.75,1920,220000,2626000,1020000,2209000,"I",670
827,"MH09LH0837","TIKONDI (I)","Maharashtra Water Resources Department","17° 0 ' 59""","75° 33 ' 43""",1980,"Krishna","Local Nalla","Jath","III","Earthfill_Embankment",14.65,1077,165000,3240000,736600,2810000,"I",695
828,"MH09LH0838","MHASWA","Maharashtra Water Resources Department","20° 53 ' 3""","75° 9 ' 24""",1880,"Tapi","Local Nalla","Parola","III","Earthfill_Embankment",14.5,1257,108000,3463000,627000,3463000,"I",890
829,"MH09MH0839","SAKHALINALA","Maharashtra Water Resources Department","20° 33 ' 7""","77° 42 ' 43""",1980,"Godavari","Sakhali nalla","Ner","II","Earthfill_Embankment",18.6,1108,357000,7270000,1685000,5994000,"I",728
830,"MH09MH0840","WHATTI","Maharashtra Water Resources Department","18° 38 ' 12""","76° 44 ' 33""",1980,"Godavari","Whati","Ahmedpur","II","Earthfill_Embankment",17.3,1609,161770,9512000,2664000,8270000,"I",997
831,"MH09MH0841","PETHWADAJ","Maharashtra Water Resources Department","18° 46 ' 30""","77° 19 ' 12""",1980,"Godavari","Local Nalla","Kandhar","II","Earthfill_Embankment",18.9,1260,495000,11490000,2970000,9040000,"I",1185
832,"MH09HH0842","HARANBARI","Maharashtra Water Resources Department","20° 47 ' 54""","74° 1 ' 43""",1980,"Tapi","Mosam","Raglan","III","Earthfill_Embankment",34,1419,2375000,34780000,4036000,33020000,"I",1312
833,"MH09HH0843","UJJANI","Maharashtra Water Resources Department","18° 4 ' 29""","75° 7 ' 16""",1980,"Krishna","Bhima","Madha.","III","Other",56.4,3141.4,3320000,3320010000,2.9e+08,1517200000,"I/S",18010
834,"MH09LH0844","KOLYACHIWADI","Maharashtra Water Resources Department","19° 23 ' 53""","74° 27 ' 1""",1980,"Godavari","Local Nalla","Rahuri","III","Earthfill_Embankment",14.88,414,122000,1090000,290000,850000,"I",380
835,"MH09HH0845","UMATE","Maharashtra Water Resources Department","18° 33 ' 16""","73° 1 ' 23""",1980,"West Flowing Rivers from Tapi to Tadri","Local Nala","Alibag","IV","Earthfill_Embankment",NA,NA,NA,NA,NA,NA,NA,NA
836,"MH09MH0846","BHULGAD","Maharashtra Water Resources Department","20° 16 ' 13""","78° 35 ' 54""",1980,"Godavari","Local Nalla","Ralegaon","II","Earthfill_Embankment",16.3,508,2330,2060000,4057000,1900000,"I",154
837,"MH09LH0847","JAMGAON","Maharashtra Water Resources Department","21° 35 ' 38""","78° 24 ' 18""",1981,"Godavari","Local Nalla","Warud","II","Earthfill_Embankment",13,410,67000,670000,220000,638000,"I",58.72
838,"MH09MH0848","PULAS","Maharashtra Water Resources Department","16° 1 ' 5""","73° 52 ' 24""",1981,"West Flowing Rivers from Tapi to Tadri","Local Nala","Kudal","III","Earthfill_Embankment",17,259,79000,1535000,260000,1508000,"I",74.62
839,"MH09MH0849","PIMPALOCAL NALLAHARE","Maharashtra Water Resources Department","20° 7 ' 51""","73° 46 ' 40""",1981,"Godavari","Local Nalla","Dindori.","III","Earthfill_Embankment",17.73,910,259000,2250000,528000,2190000,"I/S/O",95.69
840,"MH09LH0850","ANJANA","Maharashtra Water Resources Department","20° 30 ' 40""","75° 17 ' 53""",1978,"Tapi","Local Nalla","Soygaon","II","Earthfill_Embankment",11.5,1072,150000,856000,420000,796000,"I",113
841,"MH09MH0851","KALWANDE","Maharashtra Water Resources Department","17° 28 ' 52""","73° 29 ' 10""",1981,"West Flowing Rivers from Tapi to Tadri","Local Nala","Chiplun","IV","Earthfill_Embankment",18.56,254,91000,1967000,260000,1927000,"I",113.45
842,"MH09LH0852","GODRI","Maharashtra Water Resources Department","20° 36 ' 27""","75° 54 ' 43""",1981,"Tapi","Local Nalla","Jamner","II","Earthfill_Embankment",12.6,820,70230,915000,260000,848000,"I",126
843,"MH09MH0853","SHENDRI","Maharashtra Water Resources Department","16° 16 ' 17""","74° 21 ' 6""",1981,"Krishna","Local Nalla","Gadhinglaj","III","Earthfill_Embankment",20.14,625,1900,1870000,41100,1810000,"I",130
844,"MH09MH0854","KASARI","Maharashtra Water Resources Department","18° 37 ' 10""","73° 39 ' 47""",1983,"Krishna","Local Nala","Kaij","III","Earthfill_Embankment",15.57,436,131000,872000,297000,790000,"I",143
845,"MH09MH0855","BENI","Maharashtra Water Resources Department","16° 52 ' 0""","73° 35 ' 30""",1981,"West Flowing Rivers from Tapi to Tadri","Local Nala","Lanja","IV","Earthfill_Embankment",17,210,48000,2446000,726000,2395000,"I",157.8
846,"MH09MH0856","KASARI-I","Maharashtra Water Resources Department","20° 14 ' 15""","74° 45 ' 56""",1981,"Tapi","Golmadi","Nadgaon","III","Earthfill_Embankment",14.71,752,343740,1580000,438880,1320000,"I",451
847,"MH09LH0857","CHORKUND","Maharashtra Water Resources Department","20° 10 ' 21""","78° 21 ' 21""",1981,"Godavari","Local Nalla","Ghatanji","II","Earthfill_Embankment",12.06,390,120000,1520000,8520,1430000,"I",162
848,"MH09MH0858","HATTIPADA","Maharashtra Water Resources Department","19° 29 ' 45""","72° 56 ' 56""",1981,"West Flowing Rivers from Tapi to Tadri","Local Nala","Vasai","III","Earthfill_Embankment",21.34,456,259000,2058000,295000,1923000,"I",163
849,"MH09LH0859","RIDHORA","Maharashtra Water Resources Department","21° 4 ' 37""","76° 5 ' 36""",1981,"Tapi","Local Nalla","Malegaon","II","Earthfill_Embankment",12.72,360,59000,1087000,323000,1e+06,"I",167
850,"MH09MH0860","BOTHI","Maharashtra Water Resources Department","18° 29 ' 48""","76° 55 ' 25""",1981,"Godavari","Bothi","Ahmedpur","II","Earthfill_Embankment",19.15,483,185000,1819000,304000,1719000,"I",176
851,"MH09MH0861","BORI","Maharashtra Water Resources Department","19° 24 ' 36""","74° 0 ' 5""",1981,"Godavari","Local Nalla","Akola","III","Earthfill_Embankment",21.49,382,326000,1354000,280000,1264000,"I",191
852,"MH09MH0862","MARSUL","Maharashtra Water Resources Department","19° 39 ' 49""","77° 39 ' 48""",1981,"Godavari","Local Nalla","Umarkhed","II","Earthfill_Embankment",19.84,321,224000,2370000,360000,2280000,"I",199
853,"MH09MH0863","MAHIM KELWA","Maharashtra Water Resources Department","19° 38 ' 0""","72° 49 ' 7""",1981,"West Flowing Rivers from Tapi to Tadri","Local Nala","Palghar","III","Earthfill_Embankment",17.8,844,345240,3400000,652000,3243000,"I",207
854,"MH09MH0864","CHARTHAN","Maharashtra Water Resources Department","21° 30 ' 0""","75° 15 ' 0""",1981,"Tapi","Local Nalla","Edalabad","III","Earthfill_Embankment",17.6,787,127000,1388000,650000,1270000,"I",209.4
855,"MH09MH0865","NIMBHORA","Maharashtra Water Resources Department","20° 19 ' 7""","75° 12 ' 13""",1981,"Godavari","Anjana","Kannad","II","Earthfill_Embankment",17.6,857,158000,1558000,40000,1437000,"I",211
856,"MH09LH0866","PATHRAD","Maharashtra Water Resources Department","19° 19 ' 52""","76° 33 ' 44""",1981,"Tapi","Local Nalla","Mahal","II","Earthfill_Embankment",13.6,1137,64980,1273000,336900,1179000,"I",212
857,"MH09MH0867","OSRAM","Maharashtra Water Resources Department","16° 25 ' 49""","73° 38 ' 51""",1981,"West Flowing Rivers from Tapi to Tadri","Manavahal","Kankavali","III","Earthfill_Embankment",18.17,435,71000,1911000,630000,1819000,"I",221.7
858,"MH09LH0868","MALKUNJI","Maharashtra Water Resources Department","18° 7 ' 14""","76° 28 ' 18""",1981,"Godavari","Local Nalla","Ausa","III","Earthfill_Embankment",13,103,138000,1738000,564000,1603000,"I",244
859,"MH09LH0869","TISGAON","Maharashtra Water Resources Department","19° 52 ' 28""","75° 15 ' 21""",1981,"Godavari","Local Nalla","Aurangabad","II","Earthfill_Embankment",14,975,1080000,1983000,890000,1780000,"I",270
860,"MH09MH0870","KONE","Maharashtra Water Resources Department","20° 4 ' 9""","73° 31 ' 29""",1981,"Godavari","Kashyapi","Trimbakeshwar","III","Earthfill_Embankment",15.8,489,104580,2110000,230000,1843000,"I",278.24
861,"MH09MH0871","NAREWADI","Maharashtra Water Resources Department","16° 8 ' 56""","74° 25 ' 18""",1981,"Krishna","Local Nalla","Gadhinglaj","III","Earthfill_Embankment",23.75,455,85000,2210000,353000,2070000,"I",282
862,"MH09MH0872","NATHALWADI","Maharashtra Water Resources Department","19° 2 ' 15""","75° 14 ' 41""",1981,"Godavari","Local Nalla","Ashti","III","Earthfill_Embankment",15.81,439,98000,810000,270000,650000,"I",288
863,"MH09MH0873","KHANDANI","Maharashtra Water Resources Department","20° 3 ' 44""","78° 42 ' 35""",1981,"Godavari","Local Nalla","Maregaon","II","Other",18.92,593,183000,3227000,614000,3070000,"I",302
864,"MH09MH0874","RAJDEHARE","Maharashtra Water Resources Department","19° 7 ' 39""","76° 11 ' 15""",1981,"Tapi","Local Nalla","Chalisgaon","III","Earthfill_Embankment",16.5,1356,154170,1941000,486700,1681000,"I",313
865,"MH09MH0875","PADALI","Maharashtra Water Resources Department","19° 45 ' 17""","76° 28 ' 43""",1981,"Godavari","Local Nalla","Partur.","II","Earthfill_Embankment",15,1015,137000,2717000,440000,2605000,"I",326
866,"MH09LH0876","PIMPALSENDA","Maharashtra Water Resources Department","20° 36 ' 46""","77° 24 ' 27""",1981,"Tapi","Local Nalla","Murtijapur","II","Earthfill_Embankment",14.34,960,243000,2620000,803000,2430000,"I",330
867,"MH09MH0877","PAHUCHIBARI","Maharashtra Water Resources Department","20° 23 ' 6""","73° 34 ' 18""",1981,"West Flowing Rivers from Tapi to Tadri","Par","Peint","III","Earthfill_Embankment",17.8,500,110660,1570000,310000,1430000,"I",336
868,"MH09LH0878","KELI","Maharashtra Water Resources Department","19° 32 ' 56""","76° 54 ' 12""",1981,"Godavari","Local Nalla","Jintur","II","Earthfill_Embankment",11.15,1545,143260,2859000,1343500,2650000,"I",354
869,"MH09LH0879","SATGAON","Maharashtra Water Resources Department","20° 31 ' 25""","75° 24 ' 14""",1981,"Tapi","Local Nalla","Pachora","II","Earthfill_Embankment",11.22,1770,157000,1386000,6e+05,1290000,"I",358
870,"MH09MH0880","KALDARI","Maharashtra Water Resources Department","19° 36 ' 0""","78° 36 ' 0""",1981,"Godavari","Local Nalla","Soygaon","II","Earthfill_Embankment",16,1222,183000,3900000,1041000,3641000,"I",360
871,"MH09LH0881","NILANJGAON","Maharashtra Water Resources Department","19° 43 ' 50""","75° 22 ' 51""",1981,"Godavari","Local Nalla","Paithan","II","Earthfill_Embankment",13,727,768000,1434000,6e+05,1228000,"I",365
872,"MH09LH0882","LONIMAWALA","Maharashtra Water Resources Department","19° 1 ' 2""","74° 16 ' 52""",1981,"Krishna","Local Nalla","Parner","III","Earthfill_Embankment",10,958,114000,1080000,46000,880000,"I",377
873,"MH09LH0883","KOLGAONDOLAS","Maharashtra Water Resources Department","18° 37 ' 31""","74° 25 ' 36""",1981,"Krishna","Local Nalla","Shirur.","III","Earthfill_Embankment",10.46,815,80000,1069000,203300,1040000,"I",380
874,"MH09LH0884","SHIVANKHED","Maharashtra Water Resources Department","18° 31 ' 47""","76° 44 ' 10""",1981,"Godavari","Local Nalla","Ahmedpur","II","Earthfill_Embankment",12,124,130000,2380000,945000,2140000,"I",416
875,"MH09LH0885","POKHARAPUR","Maharashtra Water Resources Department","17° 48 ' 10""","75° 35 ' 17""",1981,"Krishna","local Nalla","Mohol","III","Earthfill_Embankment",10.33,1202,104000,1862720,763200,1642000,"I",424.3
876,"MH09LH0886","DAWARVADI","Maharashtra Water Resources Department","19° 32 ' 39""","75° 31 ' 52""",1981,"Godavari","Local Nalla","Paithan","II","Earthfill_Embankment",14.26,1615,140000,1540000,750000,1291000,"I",440
877,"MH09MH0887","WARNI","Maharashtra Water Resources Department","19° 3 ' 30""","75° 22 ' 58""",1981,"Godavari","Local Nalla","Patoda","III","Earthfill_Embankment",15.39,862,398750,1910000,650000,1648000,"I",445
878,"MH09LH0888","KHEL","Maharashtra Water Resources Department","19° 5 ' 5""","74° 53 ' 24""",1982,"Krishna","Local Nalla","Ashti","III","Earthfill_Embankment",13.45,690,120000,1724000,690000,1404000,"I",518
879,"MH09MH0889","KHADKUNA","Maharashtra Water Resources Department","21° 32 ' 35""","73° 52 ' 45""",1981,"Tapi","Kangali","Akkalakuwa","III","Earthfill_Embankment",19.5,1162,541000,6257870,23000,5920000,"I",531.57
880,"MH09LH0890","MALGHAR","Maharashtra Water Resources Department","17° 29 ' 42""","73° 26 ' 11""",1981,"West Flowing Rivers from Tapi to Tadri","Local Nala","Chiplun","IV","Earthfill_Embankment",14.6,230,44000,1996000,567000,1711000,"I",549
881,"MH09LH0891","INAYATPUR","Maharashtra Water Resources Department","19° 35 ' 54""","75° 32 ' 5""",1981,"Godavari","Local Nalla","Paithan","II","Earthfill_Embankment",11.25,1916,180000,2020000,848000,1640000,"I",560
882,"MH09LH0892","TAKALI KHANDESHWARI","Maharashtra Water Resources Department","18° 38 ' 53""","75° 3 ' 2""",1981,"Krishna","Local Nalla","Karjat","III","Earthfill_Embankment",10.9,1100,82900,1130000,723000,960000,"I",635
883,"MH09LH0893","MAHALINGI","Maharashtra Water Resources Department","18° 42 ' 4""","77° 6 ' 4""",1981,"Godavari","Local Nalla","Kandhar","II","Earthfill_Embankment",14.32,1061,171000,5490000,1988000,4790000,"I",693
884,"MH09MH0894","RAJURI","Maharashtra Water Resources Department","18° 20 ' 45""","75° 0 ' 16""",1981,"Krishna","Local Nalla","Karmala","III","Earthfill_Embankment",19.29,609,156000,2520000,566800,2039000,"I",694.33
885,"MH09LH0895","BELGAON","Maharashtra Water Resources Department","18° 51 ' 46""","75° 9 ' 31""",1981,"Krishna","local Nalla","Ashti","III","Earthfill_Embankment",14.78,181,150000,2861000,870000,2342000,"I",768
886,"MH09HH0896","KELZAR","Maharashtra Water Resources Department","20° 39 ' 6""","73° 58 ' 11""",1981,"Tapi","Aram","Baglan","III","Earthfill_Embankment",32.5,1236,1622000,17100000,1765000,16220000,"I",832.4
887,"MH09MH0897","SARASWATI","Maharashtra Water Resources Department","18° 55 ' 4""","76° 15 ' 8""",1981,"Godavari","Saraswati","Dharur","II","Earthfill_Embankment",18.2,1411,571000,7230000,1470000,6207000,"I",855
888,"MH09MH0898","DHOKI","Maharashtra Water Resources Department","19° 10 ' 27""","74° 25 ' 28""",1981,"Godavari","Kalu","Parner","III","Earthfill_Embankment",17.33,397,92030,1266000,290000,1032000,"I",1046
889,"MH09MH0899","UMA","Maharashtra Water Resources Department","20° 35 ' 12""","74° 24 ' 6""",1981,"Tapi","Uma","Murtijapur","II","Earthfill_Embankment",20.42,2140,434000,14010000,2600000,11680000,"I",1340
890,"MH09MH0900","BASSAPPAWADI","Maharashtra Water Resources Department","17° 2 ' 12""","75° 0 ' 23""",1980,"Krishna","Local Nalla","K.Mahankal","III","Earthfill_Embankment",16.9,1770,324000,7780000,2760000,6270000,"I",1368
891,"MH09MH0901","SONAL","Maharashtra Water Resources Department","20° 19 ' 6""","77° 12 ' 27""",1981,"Godavari","Aran","Malegaon","II","Earthfill_Embankment",19.9,1131,698000,20270000,2440000,16920000,"I",1368
892,"MH09MH0902","SIDDHEWADI","Maharashtra Water Resources Department","17° 9 ' 44""","74° 46 ' 13""",1981,"Krishna","Agrani","Tasgaon","III","Earthfill_Embankment",19,959,209000,8580000,1460000,6100000,"I",1549
893,"MH09MH0903","MASOLI","Maharashtra Water Resources Department","18° 53 ' 55""","76° 44 ' 45""",1981,"Godavari","Macchili","Gangakhed","II","Earthfill_Embankment",24.84,1086,626000,34080000,6970000,27140000,"I",2028
894,"MH09MH0904","GOKI","Maharashtra Water Resources Department","20° 17 ' 7""","77° 54 ' 23""",1981,"Godavari","Goki","Ner","II","Other",23.06,1572,658000,50220000,11360000,42710000,"I/S",2066
895,"MH09MH0905","THANEPADA","Maharashtra Water Resources Department","21° 15 ' 28""","74° 13 ' 30""",1981,"Tapi","Kaparnalla","Sakri","III","Earthfill_Embankment",19.69,293,460000,1409000,70000,1311000,"I",288
896,"MH09LH0906","MAROLI","Maharashtra Water Resources Department","17° 16 ' 6""","75° 28 ' 4""",1981,"Krishna","Local Nalla","Mangalwedha","III","Earthfill_Embankment",11.3,1050,198000,1954000,1004000,1529000,"I",607.85
897,"MH09LH0907","SARSIBOTH","Maharashtra Water Resources Department","20° 10 ' 45""","77° 18 ' 25""",1981,"Godavari","Local Nalla","Mangrulpir","II","Earthfill_Embankment",13.25,890,137000,1710000,53600,1580000,"I/S",254
898,"MH09LH0908","BOBDOH","Maharashtra Water Resources Department","21° 28 ' 38""","76° 52 ' 45""",1982,"Tapi","Local Nalla","Dharni","III","Earthfill_Embankment",12.35,406,71000,1150000,449300,1110000,"I",68
899,"MH09MH0909","USRAN","Maharashtra Water Resources Department","18° 54 ' 26""","73° 8 ' 52""",1982,"West Flowing Rivers from Tapi to Tadri","Local Nala","Panvel","III","Earthfill_Embankment",22.93,249,79000,2055000,676000,2015000,"I",74
900,"MH09LH0910","AMBAGAD","Maharashtra Water Resources Department","21° 27 ' 4""","79° 40 ' 11""",1982,"Godavari","Local Nalla","Tumsar","II","Earthfill_Embankment",11.88,13.8,0,1116000,3670,1055000,"I",74.09
901,"MH09MH0911","PERSODI","Maharashtra Water Resources Department","21° 12 ' 56""","78° 25 ' 44""",1982,"Godavari","Local Nalla","Karanja","II","Earthfill_Embankment",20.05,169,63000,1110000,70000,1070000,"I",81
902,"MH09HH0912","BAREWADI","Maharashtra Water Resources Department","16° 43 ' 15""","73° 37 ' 30""",1982,"West Flowing Rivers from Tapi to Tadri","Tivre Nalla","Rajapur","III","Earthfill_Embankment",33.1,175,193000,1969000,243000,1940000,"I",83.58
903,"MH09MH0913","SALAI","Maharashtra Water Resources Department","21° 28 ' 0""","76° 52 ' 0""",1982,"Tapi","Local Nalla","Melghat","III","Earthfill_Embankment",16.17,496,120000,1453000,372400,1405000,"I",87
904,"MH09MH0914","ANDUR","Maharashtra Water Resources Department","16° 37 ' 18""","73° 55 ' 48""",1982,"Krishna","Local Nalla","Gaganbawada","III","Earthfill_Embankment",24.51,430,197000,5750000,615000,5690000,"I",98
905,"MH09LH0915","GANDHARI","Maharashtra Water Resources Department","21° 6 ' 5""","79° 55 ' 28""",1982,"Godavari","Local Nalla","Sakoli","II","Earthfill_Embankment",10.08,1002,126000,1896000,6550,1831000,"I",128.4
906,"MH09LH0916","JALKA","Maharashtra Water Resources Department","20° 53 ' 0""","78° 2 ' 0""",1982,"Godavari","Local Nalla","Chandur Rly","III","Earthfill_Embankment",12.3,679,66000,951000,271000,875000,"I",132.1
907,"MH09MH0917","KADWAI","Maharashtra Water Resources Department","17° 16 ' 47""","73° 33 ' 53""",1982,"West Flowing Rivers from Tapi to Tadri","Local Nala","Sangneshwar","IV","Earthfill_Embankment",25.5,295,178000,1765000,2431000,1639000,"I",169.89
908,"MH09MH0918","GAVANE","Maharashtra Water Resources Department","16° 53 ' 9""","73° 27 ' 3""",1982,"West Flowing Rivers from Tapi to Tadri","Paliehaprya","Lanja","III","Earthfill_Embankment",19.63,334,94000,1934000,461000,1834000,"I",192.83
909,"MH09LH0919","KARANDALA","Maharashtra Water Resources Department","20° 50 ' 45""","79° 24 ' 55""",1982,"Godavari","Local Nalla","Kuhi","II","Earthfill_Embankment",14.6,590,65000,3065000,101000,2913000,"I",215
910,"MH09LH0920","PIMPALGAON KOLTA","Maharashtra Water Resources Department","20° 5 ' 2""","75° 37 ' 2""",1982,"Godavari","Local Nalla","Bhokardan","II","Earthfill_Embankment",12.6,776,79000,1230000,425000,1120000,"I",222
911,"MH09LH0921","PANDHARI","Maharashtra Water Resources Department","18° 48 ' 11""","75° 13 ' 5""",1982,"Krishna","Local Nalla","Ashti","III","Earthfill_Embankment",13.86,71,152000,1141000,320000,1010000,"I",233
912,"MH09MH0922","JAKHOD","Maharashtra Water Resources Department","20° 39 ' 50""","74° 19 ' 50""",1982,"Tapi","Local Nalla","Baglan","III","Earthfill_Embankment",24.16,720,179330,2340000,392930,2210000,"I",235.56
913,"MH09LH0923","PIMPERKHED","Maharashtra Water Resources Department","20° 23 ' 56""","75° 1 ' 29""",1982,"Tapi","Local Nalla","Chalisgaon","II","Earthfill_Embankment",12.32,1260,135980,1196000,426500,1108000,"I",246
914,"MH09LH0924","ARDI","Maharashtra Water Resources Department","21° 8 ' 19""","74° 53 ' 17""",1982,"Tapi","Local Nalla","Amalner","III","Earthfill_Embankment",13.5,1020,86000,901000,490000,814000,"I",264
915,"MH09LH0925","LAGAM","Maharashtra Water Resources Department","19° 33 ' 45""","79° 53 ' 52""",1982,"Godavari","Local Nalla","Charmursi","III","Earthfill_Embankment",12.5,1549,451000,1481000,1600000,1170000,"I",277.71
916,"MH09LH0927","KUMBHEJ","Maharashtra Water Resources Department","18° 18 ' 37""","75° 10 ' 30""",1982,"Krishna","Local Nala","Karmal","III","Earthfill_Embankment",10.68,1016,113000,1325000,518200,1133000,"I",339
917,"MH09MH0928","BHARAJ","Maharashtra Water Resources Department","20° 19 ' 15""","76° 5 ' 17""",1982,"Godavari","Local Nalla","Jafrabad.","II","Earthfill_Embankment",15.46,540,138000,2310000,760000,2140000,"I",352
918,"MH09MH0929","SHELBARI","Maharashtra Water Resources Department","20° 50 ' 13""","74° 8 ' 35""",1982,"Tapi","Local Nalla","Sakri","III","Earthfill_Embankment",20.7,471,212000,1580000,403230,136000,"I",403
919,"MH09LH0930","AJANG","Maharashtra Water Resources Department","18° 42 ' 21""","76° 35 ' 47""",1982,"Tapi","Nagarohal","Malegaon","III","Earthfill_Embankment",11.1,826,111000,1400000,650000,1160000,"I",410
920,"MH09MH0931","TINTRAJ","Maharashtra Water Resources Department","18° 38 ' 0""","75° 29 ' 57""",1982,"Krishna","Local Nalla","Paranda","III","Earthfill_Embankment",15.5,535,134000,1393000,450000,1140000,"I",430
921,"MH09LH0932","DASTAPUR","Maharashtra Water Resources Department","20° 14 ' 45""","77° 18 ' 15""",1982,"Godavari","Local Nalla","Amravati","II","Earthfill_Embankment",14.02,640,147000,2310000,718000,2055000,"I",447
922,"MH09LH0933","GONDEGAON","Maharashtra Water Resources Department","20° 29 ' 35""","75° 14 ' 34""",1982,"Tapi","Local Nalla","Soygaon","II","Earthfill_Embankment",11.28,1072,250000,2435000,1020000,2192000,"I",450
923,"MH09MH0934","MURBADI","Maharashtra Water Resources Department","19° 13 ' 20""","73° 28 ' 16""",1982,"West Flowing Rivers from Tapi to Tadri","Murbadi","Murbad","III","Other",17.5,650,114920,1100000,220000,1100000,"S",492
924,"MH09MH0935","JAMBHULANI (SATARA)","Maharashtra Water Resources Department","17° 34 ' 18""","74° 46 ' 17""",1982,"Krishna","Local Nalla","Man","III","Earthfill_Embankment",15.21,1040,11000,2400000,710000,2250000,"I",515
925,"MH09LH0936","MASSAWADI","Maharashtra Water Resources Department","18° 46 ' 46""","75° 40 ' 57""",1982,"Godavari","Local Nalla","Bid","III","Earthfill_Embankment",13.3,995,127000,1582000,98000,1573000,"I",531
926,"MH09MH0937","YELAVI","Maharashtra Water Resources Department","17° 11 ' 30""","75° 17 ' 56""",1982,"Krishna","Dodda Halla","Jath","III","Earthfill_Embankment",15.25,764,106820,2582000,667100,2239000,"I",557
927,"MH09LH0938","SAROLA","Maharashtra Water Resources Department","18° 15 ' 14""","76° 34 ' 13""",1982,"Godavari","Local Nalla","Ausa","II","Earthfill_Embankment",11.64,1580,134000,3478000,1550000,3106000,"I",589
928,"MH09HH0939","SHEKHDARI","Maharashtra Water Resources Department","20° 33 ' 18""","77° 42 ' 50""",1982,"Godavari","Soki Nalla","Warud","III","Earthfill_Embankment",30.36,730,4140000,5220000,764000,4561000,"I",591
929,"MH09LH0940","HIVARKHEDA","Maharashtra Water Resources Department","20° 39 ' 56""","75° 42 ' 40""",1982,"Tapi","Local Nalla","Jamner","II","Earthfill_Embankment",12,1393,360000,5031000,1330000,4666000,"I",609
930,"MH09MH0941","AJANTA ANDHERI","Maharashtra Water Resources Department","20° 20 ' 39""","75° 45 ' 37""",1982,"Tapi","Waghur","Sillod","II","Earthfill_Embankment",21.2,1260,372000,8530000,180000,7650000,"I",781
931,"MH09MH0942","RANGAWALI","Maharashtra Water Resources Department","21° 4 ' 17""","73° 51 ' 44""",1990,"Tapi","Rangawali","Navapur","III","Earthfill_Embankment",25.63,1878,1289000,15020000,329000,12890000,"I",1168
932,"MH09HH0943","OZARKHED","Maharashtra Water Resources Department","20° 16 ' 40""","73° 51 ' 54""",1982,"Godavari","Unanda","Dindori.","III","Earthfill_Embankment",35.3,3266,2052000,67960000,78100000,60320000,"I",1610
933,"MH09LH0944","TAWARJA","Maharashtra Water Resources Department","18° 18 ' 37""","76° 26 ' 24""",1982,"Godavari","Tawarja","Latur","III","Earthfill_Embankment",14.56,2222,361000,27727000,741000,20345000,"I",1903
934,"MH09HH0945","TILLARI (PROJ.)","Maharashtra Water Resources Department","15° 45 ' 36""","74° 5 ' 26""",1982,"West Flowing Rivers from Tapi to Tadri","Tilari","Dodamarg","III","Other",72.5,1313.5,9274000,462170000,17638000,447369000,"I/H",7270
935,"MH09MH0946","MANJARA","Maharashtra Water Resources Department","18° 55 ' 6""","76° 15 ' 6""",1982,"Godavari","Manjara","Kalakam","III","Other",25,4203,2213000,224093000,47175000,176963000,"I",6000
936,"MH09HH0947","ISAPUR","Maharashtra Water Resources Department","19° 43 ' 3""","77° 25 ' 32""",1982,"Godavari","Penganga","Pusad","II","Other",48,4088.5,117000,1.279e+09,96270000,9.64e+08,"I",10480
937,"MH09MH0948","HATNUR","Maharashtra Water Resources Department","21° 4 ' 22""","75° 56 ' 45""",1982,"Tapi","Hatnur","Bhusawal","III","Other",25.5,2580,3850000,3.88e+08,48160000,2.55e+08,"I",26415
938,"MH09LH0949","TAKALI","Maharashtra Water Resources Department","20° 5 ' 15""","75° 13 ' 7""",1982,"Godavari","Local Nalla","Khultabad","II","Earthfill_Embankment",13.9,422,35000,1889000,347000,1049000,"I",151
939,"MH09LH0950","RAIDHOK","Maharashtra Water Resources Department","20° 30 ' 22""","76° 37 ' 0""",1982,"Tapi","Local Nalla","Khamgaon","II","Earthfill_Embankment",12.31,795,1180000,1170000,40000,1080000,"I",1734
940,"MH09MH0951","SHINDE","Maharashtra Water Resources Department","20° 21 ' 39""","74° 18 ' 10""",1983,"Tapi","Local Nalla","Surgana","III","Earthfill_Embankment",21.26,349,148270,1690000,291600,1670000,"I",81
